DATE,VIX
17/12/2015,18.94
18/12/2015,20.7
21/12/2015,18.7
22/12/2015,16.6
23/12/2015,15.57
24/12/2015,15.74
28/12/2015,16.91
29/12/2015,16.08
30/12/2015,17.29
31/12/2015,18.21
04/01/2016,20.7
05/01/2016,19.34
06/01/2016,20.59
07/01/2016,24.99
08/01/2016,27.01
11/01/2016,24.3
12/01/2016,22.47
13/01/2016,25.22
14/01/2016,23.95
15/01/2016,27.02
19/01/2016,26.05
20/01/2016,27.59
21/01/2016,26.69
22/01/2016,22.34
25/01/2016,24.15
26/01/2016,22.5
27/01/2016,23.11
28/01/2016,22.42
29/01/2016,20.2
01/02/2016,19.98
02/02/2016,21.98
03/02/2016,21.65
04/02/2016,21.84
05/02/2016,23.38
08/02/2016,26
09/02/2016,26.54
10/02/2016,26.29
11/02/2016,28.14
12/02/2016,25.4
16/02/2016,24.11
17/02/2016,22.31
18/02/2016,21.64
19/02/2016,20.53
22/02/2016,19.38
23/02/2016,20.98
24/02/2016,20.72
25/02/2016,19.11
26/02/2016,19.81
29/02/2016,20.55
01/03/2016,17.7
02/03/2016,17.09
03/03/2016,16.7
04/03/2016,16.86
07/03/2016,17.35
08/03/2016,18.67
09/03/2016,18.34
10/03/2016,18.05
11/03/2016,16.5
14/03/2016,16.92
15/03/2016,16.84
16/03/2016,14.99
17/03/2016,14.44
18/03/2016,14.02
21/03/2016,13.79
22/03/2016,14.17
23/03/2016,14.94
24/03/2016,14.74
28/03/2016,15.24
29/03/2016,13.82
30/03/2016,13.56
31/03/2016,13.95
01/04/2016,13.1
04/04/2016,14.12
05/04/2016,15.42
06/04/2016,14.09
07/04/2016,16.16
08/04/2016,15.36
11/04/2016,16.26
12/04/2016,14.85
13/04/2016,13.84
14/04/2016,13.72
15/04/2016,13.62
18/04/2016,13.35
19/04/2016,13.24
20/04/2016,13.28
21/04/2016,13.95
22/04/2016,13.22
25/04/2016,14.08
26/04/2016,13.96
27/04/2016,13.77
28/04/2016,15.22
29/04/2016,15.7
02/05/2016,14.68
03/05/2016,15.6
04/05/2016,16.05
05/05/2016,15.91
06/05/2016,14.72
09/05/2016,14.57
10/05/2016,13.63
